city,year,month,temperature,humidity,air_pressure,monthly_rainfall,latitude,longitude,oni_index,el_nino,la_nina
Sipalay,2020,7,26.774193548387096,94.19354838709677,1009.2483870967742,289.9,9.75194,122.404167,-0.5,0,0
Sipalay,2020,8,26.97741935483871,91.51612903225806,1009.6354838709677,266.90000000000003,9.75194,122.404167,-0.9,0,1
Sipalay,2020,9,26.84,92.7,1009.3966666666668,338.9,9.75194,122.404167,-1.3,0,1
Sipalay,2020,10,26.538709677419355,92.83870967741936,1008.4709677419354,495.8,9.75194,122.404167,-1.5,0,1
Sipalay,2020,11,27.14,90.6,1009.4233333333334,115.2,9.75194,122.404167,-1.6,0,1
Sipalay,2020,12,26.703225806451613,91.87096774193549,1008.6870967741935,234.3,9.75194,122.404167,-1.4,0,1
Sipalay,2021,1,26.26774193548387,89.35483870967742,1008.9387096774193,187.4,9.75194,122.404167,-1.2,0,1
Sipalay,2021,2,26.057142857142857,90.35714285714286,1009.9857142857143,178.5,9.75194,122.404167,-0.9,0,1
Sipalay,2021,3,27.138709677419353,90.41935483870968,1009.9129032258064,188.7,9.75194,122.404167,-0.7,0,1
Sipalay,2021,4,27.290000000000003,91.0,1009.6233333333333,113.8,9.75194,122.404167,-0.5,0,0
Sipalay,2021,5,27.693548387096776,90.74193548387096,1009.3838709677419,276.3,9.75194,122.404167,-0.3,0,0
Sipalay,2021,6,26.94,92.06666666666666,1010.4066666666666,278.3,9.75194,122.404167,-0.4,0,0
Sipalay,2021,7,27.225806451612904,90.41935483870968,1008.9709677419354,319.1,9.75194,122.404167,-0.5,0,0
Sipalay,2021,8,27.009677419354837,92.7741935483871,1010.2258064516129,232.9,9.75194,122.404167,-0.7,0,1
Sipalay,2021,9,26.59333333333333,93.2,1009.6366666666667,395.3,9.75194,122.404167,-0.9,0,1
Sipalay,2021,10,26.73225806451613,91.90322580645162,1008.9612903225806,503.2,9.75194,122.404167,-1.1,0,1
Sipalay,2021,11,26.793333333333333,91.8,1008.7733333333333,247.5,9.75194,122.404167,-1.2,0,1
Sipalay,2021,12,26.532258064516128,88.35483870967742,1009.7741935483871,330.0,9.75194,122.404167,-1.1,0,1
Sipalay,2022,1,26.38064516129032,86.80645161290323,1010.7290322580644,117.39999999999999,9.75194,122.404167,-1.0,0,1
Sipalay,2022,2,27.07857142857143,85.32142857142857,1010.2357142857143,37.400000000000006,9.75194,122.404167,-0.9,0,1
Sipalay,2022,3,27.09032258064516,89.7741935483871,1009.3387096774194,264.1,9.75194,122.404167,-0.7,0,1
Sipalay,2022,4,26.686666666666667,91.33333333333333,1008.7233333333334,418.40000000000003,9.75194,122.404167,-0.5,0,0
Sipalay,2022,5,27.322580645161292,89.96774193548387,1009.4677419354839,214.70000000000002,9.75194,122.404167,-0.2,0,0
Sipalay,2022,6,26.94333333333333,90.46666666666667,1009.15,234.0,9.75194,122.404167,0.1,0,0
Sipalay,2022,7,26.567741935483873,92.03225806451613,1009.016129032258,357.2,9.75194,122.404167,0.3,0,0
Sipalay,2022,8,26.700000000000003,91.06451612903226,1009.3032258064517,294.4,9.75194,122.404167,0.0,0,0
Sipalay,2022,9,26.846666666666668,89.5,1009.6533333333333,293.7,9.75194,122.404167,-0.2,0,0
Sipalay,2022,10,26.593548387096774,92.51612903225806,1008.6129032258065,486.0,9.75194,122.404167,-0.6,0,1
Sipalay,2022,11,26.936666666666667,91.53333333333333,1009.41,231.5,9.75194,122.404167,-0.8,0,1
Sipalay,2022,12,26.5,88.96774193548387,1007.9903225806452,257.7,9.75194,122.404167,-0.9,0,1
Sipalay,2023,1,25.82903225806452,90.38709677419355,1009.5322580645161,337.8,9.75194,122.404167,-0.6,0,1
Sipalay,2023,2,26.417857142857144,88.35714285714286,1010.0071428571429,92.6,9.75194,122.404167,-0.3,0,0
Sipalay,2023,3,27.019354838709678,86.45161290322581,1011.0032258064516,79.4,9.75194,122.404167,0.1,0,0
Sipalay,2023,4,27.763333333333332,87.93333333333334,1009.1866666666666,97.7,9.75194,122.404167,0.5,0,0
Sipalay,2023,5,27.583870967741937,90.06451612903226,1009.6709677419354,275.8,9.75194,122.404167,0.8,1,0
Sipalay,2023,6,26.85,92.56666666666666,1009.7466666666667,351.2,9.75194,122.404167,1.0,1,0
Sipalay,2023,7,26.82903225806452,89.12903225806451,1009.5290322580646,498.5,9.75194,122.404167,1.3,1,0
Sipalay,2023,8,26.919354838709676,89.16129032258064,1010.1967741935483,302.4,9.75194,122.404167,1.6,1,0
Sipalay,2023,9,26.71333333333333,90.66666666666667,1009.7333333333333,304.1,9.75194,122.404167,1.8,1,0
Sipalay,2023,10,26.951612903225808,92.16129032258064,1010.9129032258064,199.7,9.75194,122.404167,2.0,1,0
Sipalay,2023,11,27.4,90.1,1009.9300000000001,107.4,9.75194,122.404167,2.1,1,0
Sipalay,2023,12,27.45483870967742,88.35483870967742,1010.5064516129032,120.1,9.75194,122.404167,2.0,1,0
Sipalay,2024,1,27.370967741935484,85.35483870967742,1011.5516129032258,37.3,9.75194,122.404167,1.8,1,0
Sipalay,2024,2,27.879310344827587,81.24137931034483,1012.944827586207,26.6,9.75194,122.404167,1.5,1,0
Sipalay,2024,3,28.80322580645161,80.12903225806451,1011.683870967742,34.5,9.75194,122.404167,1.1,1,0
Sipalay,2024,4,29.48,86.8,1009.6833333333333,55.8,9.75194,122.404167,0.7,1,0
Sipalay,2024,5,28.916129032258063,88.58064516129032,1009.1483870967742,178.1,9.75194,122.404167,0.4,0,0
Sipalay,2024,6,27.39,90.6,1010.0333333333333,328.6,9.75194,122.404167,0.2,0,0
Sipalay,2024,7,26.787096774193547,90.7741935483871,1009.4806451612903,448.1,9.75194,122.404167,0.0,0,0
Sipalay,2024,8,26.919354838709676,90.80645161290323,1010.0548387096775,328.2,9.75194,122.404167,-0.1,0,0
Sipalay,2024,9,27.333333333333332,87.93333333333334,1008.5233333333333,524.5,9.75194,122.404167,-0.2,0,0
Sipalay,2024,10,26.817241379310346,91.3,1009.13,400.8,9.75194,122.404167,-0.3,0,0
Sipalay,2024,11,27.523333333333333,88.76666666666667,1009.0533333333333,73.8,9.75194,122.404167,-0.4,0,0
Sipalay,2024,12,26.9741935483871,91.45161290322581,1008.4580645161291,323.8,9.75194,122.404167,-0.5,0,0
Sipalay,2025,1,26.996774193548386,90.0,1009.558064516129,187.6,9.75194,122.404167,-0.6,0,1
Sipalay,2025,2,26.978571428571428,87.07142857142857,1010.907142857143,228.2,9.75194,122.404167,-0.4,0,0
Sipalay,2025,3,27.353333333333335,89.45161290322581,1010.0483870967741,206.7,9.75194,122.404167,-0.2,0,0
Surigao City,2020,1,26.003225806451614,90.7741935483871,1005.1096774193549,140.9,9.75,125.5,-0.5,0,0
Surigao City,2020,2,25.42758620689655,87.86206896551724,1006.9,211.1,9.75,125.5,-0.4,0,0
Surigao City,2020,3,26.051612903225806,88.70967741935483,1005.5612903225807,110.3,9.75,125.5,-0.1,0,0
Surigao City,2020,4,26.7,89.86666666666666,1005.25,67.6,9.75,125.5,0.2,0,0
Surigao City,2020,5,27.551612903225806,91.3225806451613,1003.8290322580646,199.60000000000002,9.75,125.5,0.1,0,0
Surigao City,2020,6,27.136666666666667,91.6,1003.6933333333333,137.9,9.75,125.5,-0.2,0,0
Surigao City,2020,7,26.887096774193548,92.41935483870968,1003.0870967741936,188.0,9.75,125.5,-0.5,0,0
Surigao City,2020,8,27.270967741935483,91.03225806451613,1003.1516129032258,121.5,9.75,125.5,-0.9,0,1
Surigao City,2020,9,27.39333333333333,91.23333333333333,1003.1266666666667,139.0,9.75,125.5,-1.3,0,1
